specialtyCode,specialtyName,branchCode,branchName,documentCode,documentName,categoryCode,categoryName,isRequired
55.04,어학병_러시아어,2,해군,01,"최종학교재학(휴학,퇴학,수료,졸업)증명서",,어학병,true
55.04,어학병_러시아어,2,해군,08,고교생활기록부 사본,,어학병,true
55.04,어학병_러시아어,2,해군,10,어학성적증명서,,어학병,true
44,전문자격의무병,3,공군,17,국가유공자증명서,,전문자격의무병,true
54,IT개발관리병,3,공군,01,"최종학교재학(휴학,퇴학,수료,졸업)증명서",,IT개발관리병,true
54,IT개발관리병,3,공군,03,자격면허증 사본,,IT개발관리병,true
54,IT개발관리병,3,공군,07,수상(전국/도/지역대회)증명서,,IT개발관리병,true
54,IT개발관리병,3,공군,08,고교생활기록부 사본,,IT개발관리병,true
54,IT개발관리병,3,공군,10,어학성적증명서,,IT개발관리병,true
54,IT개발관리병,3,공군,25,경력증명서,,IT개발관리병,true
54,IT개발관리병,3,공군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,IT개발관리병,true
54,IT개발관리병,3,공군,48,다자녀가정자녀 부모의 가족관계증명서,,IT개발관리병,true
54,IT개발관리병,3,공군,52,헌혈증서(접수마감일 기준 3년이내),,IT개발관리병,true
44,전문자격의무병,3,공군,10,어학성적증명서,,전문자격의무병,true
44,전문자격의무병,3,공군,34,독립유공자증명서,,전문자격의무병,true
41.01,콘텐츠_그래픽디자인,3,공군,04,군사특기 관련 경력(개인/법인업체근무)증명서,,콘텐츠제작병,true
41.01,콘텐츠_그래픽디자인,3,공군,08,고교생활기록부 사본,,콘텐츠제작병,true
41.01,콘텐츠_그래픽디자인,3,공군,10,어학성적증명서,,콘텐츠제작병,true
41.01,콘텐츠_그래픽디자인,3,공군,17,국가유공자증명서,,콘텐츠제작병,true
41.01,콘텐츠_그래픽디자인,3,공군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,콘텐츠제작병,true
41.01,콘텐츠_그래픽디자인,3,공군,45,"1차선발 군사특기 관련 학력(재학,휴학,퇴학,수료,졸업)증명서",,콘텐츠제작병,true
41.01,콘텐츠_그래픽디자인,3,공군,48,다자녀가정자녀 부모의 가족관계증명서,,콘텐츠제작병,true
41.01,콘텐츠_그래픽디자인,3,공군,52,헌혈증서(접수마감일 기준 3년이내),,콘텐츠제작병,true
41.02,콘텐츠_영상촬영편집,3,공군,04,군사특기 관련 경력(개인/법인업체근무)증명서,,콘텐츠제작병,true
41.02,콘텐츠_영상촬영편집,3,공군,08,고교생활기록부 사본,,콘텐츠제작병,true
41.02,콘텐츠_영상촬영편집,3,공군,10,어학성적증명서,,콘텐츠제작병,true
41.02,콘텐츠_영상촬영편집,3,공군,17,국가유공자증명서,,콘텐츠제작병,true
41.02,콘텐츠_영상촬영편집,3,공군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,콘텐츠제작병,true
41.02,콘텐츠_영상촬영편집,3,공군,45,"1차선발 군사특기 관련 학력(재학,휴학,퇴학,수료,졸업)증명서",,콘텐츠제작병,true
41.02,콘텐츠_영상촬영편집,3,공군,48,다자녀가정자녀 부모의 가족관계증명서,,콘텐츠제작병,true
41.02,콘텐츠_영상촬영편집,3,공군,52,헌혈증서(접수마감일 기준 3년이내),,콘텐츠제작병,true
41.03,콘텐츠_일러스트웹툰,3,공군,04,군사특기 관련 경력(개인/법인업체근무)증명서,,콘텐츠제작병,true
41.03,콘텐츠_일러스트웹툰,3,공군,08,고교생활기록부 사본,,콘텐츠제작병,true
41.03,콘텐츠_일러스트웹툰,3,공군,10,어학성적증명서,,콘텐츠제작병,true
41.03,콘텐츠_일러스트웹툰,3,공군,17,국가유공자증명서,,콘텐츠제작병,true
41.03,콘텐츠_일러스트웹툰,3,공군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,콘텐츠제작병,true
41.03,콘텐츠_일러스트웹툰,3,공군,45,"1차선발 군사특기 관련 학력(재학,휴학,퇴학,수료,졸업)증명서",,콘텐츠제작병,true
41.03,콘텐츠_일러스트웹툰,3,공군,48,다자녀가정자녀 부모의 가족관계증명서,,콘텐츠제작병,true
41.03,콘텐츠_일러스트웹툰,3,공군,52,헌혈증서(접수마감일 기준 3년이내),,콘텐츠제작병,true
65,인공지능(AI)개발특기병,2,해군,01,"최종학교재학(휴학,퇴학,수료,졸업)증명서",,인공지능(AI)개발특기병,true
65,인공지능(AI)개발특기병,2,해군,03,자격면허증 사본,,인공지능(AI)개발특기병,true
65,인공지능(AI)개발특기병,2,해군,07,수상(전국/도/지역대회)증명서,,인공지능(AI)개발특기병,true
65,인공지능(AI)개발특기병,2,해군,53,실무경력(회사) 증명서,,인공지능(AI)개발특기병,true
26,어학병,3,공군,08,고교생활기록부 사본,,어학병,true
A11,(1함대)일반,2,해군,01,"최종학교재학(휴학,퇴학,수료,졸업)증명서",,복무지역선택병,true
A11,(1함대)일반,2,해군,03,자격면허증 사본,,복무지역선택병,true
